filename,width,height,class,xmin,ymin,xmax,ymax
2_CF25.jpg,500,400,2_Clownfish_187,48,82,440,339
6_SF288.jpg,500,375,6_Starfish_382,100,70,417,349
2_CF31.jpg,1024,682,2_Clownfish_187,370,109,636,296
2_CF31.jpg,1024,682,2_Clownfish_187,214,259,478,407
2_CF19.jpg,1024,668,2_Clownfish_187,170,330,419,481
2_CF19.jpg,1024,668,2_Clownfish_187,529,224,981,495
3_LF3.jpg,800,600,3_Lion Fish_215,8,5,794,574
4_ST485.jpg,500,375,4_SeaTurtle_704,155,144,305,250
5_SU38.jpg,500,491,5_SeaUrchin_341,2,85,250,341
5_SU38.jpg,500,491,5_SeaUrchin_341,206,198,488,474
4_ST491.jpg,500,400,4_SeaTurtle_704,4,92,466,310
4_ST308.jpg,500,375,4_SeaTurtle_704,174,143,499,300
5_SU317.jpg,500,375,5_SeaUrchin_341,57,9,428,327
4_ST320.jpg,500,375,4_SeaTurtle_704,71,110,330,284
6_SF263.jpg,500,396,6_Starfish_382,41,44,390,340
4_ST446.jpg,500,375,4_SeaTurtle_704,172,80,440,375
4_ST452.jpg,500,375,4_SeaTurtle_704,130,125,383,304
6_SF277.jpg,500,375,6_Starfish_382,3,12,330,360
5_SU303.jpg,500,375,5_SeaUrchin_341,156,112,323,246
4_ST334.jpg,500,334,4_SeaTurtle_704,80,99,473,233
4_ST687.jpg,500,375,4_SeaTurtle_704,35,1,459,322
4_ST693.jpg,465,500,4_SeaTurtle_704,14,63,332,458
4_ST678.jpg,500,335,4_SeaTurtle_704,78,56,393,240
5_SU129.jpg,375,500,5_SeaUrchin_341,3,11,375,433
4_ST644.jpg,500,375,4_SeaTurtle_704,79,100,476,317
4_ST122.jpg,500,375,4_SeaTurtle_704,88,148,389,288
5_SU115.jpg,500,333,5_SeaUrchin_341,90,20,412,328
4_ST136.jpg,500,375,4_SeaTurtle_704,79,115,359,290
5_SU101.jpg,500,333,5_SeaUrchin_341,63,27,470,314
4_ST650.jpg,500,375,4_SeaTurtle_704,1,70,430,374
